"Step","Group: k_is_10 - test-tokens/avg_loss","Group: k_is_10 - test-tokens/avg_loss__MIN","Group: k_is_10 - test-tokens/avg_loss__MAX","Group: k_is_9 - test-tokens/avg_loss","Group: k_is_9 - test-tokens/avg_loss__MIN","Group: k_is_9 - test-tokens/avg_loss__MAX","Group: k_is_8 - test-tokens/avg_loss","Group: k_is_8 - test-tokens/avg_loss__MIN","Group: k_is_8 - test-tokens/avg_loss__MAX","Group: k_is_7 - test-tokens/avg_loss","Group: k_is_7 - test-tokens/avg_loss__MIN","Group: k_is_7 - test-tokens/avg_loss__MAX","Group: k_is_6 - test-tokens/avg_loss","Group: k_is_6 - test-tokens/avg_loss__MIN","Group: k_is_6 - test-tokens/avg_loss__MAX","Group: k_is_5 - test-tokens/avg_loss","Group: k_is_5 - test-tokens/avg_loss__MIN","Group: k_is_5 - test-tokens/avg_loss__MAX","Group: k_is_4 - test-tokens/avg_loss","Group: k_is_4 - test-tokens/avg_loss__MIN","Group: k_is_4 - test-tokens/avg_loss__MAX","Group: k_is_3 - test-tokens/avg_loss","Group: k_is_3 - test-tokens/avg_loss__MIN","Group: k_is_3 - test-tokens/avg_loss__MAX","Group: k_is_2 - test-tokens/avg_loss","Group: k_is_2 - test-tokens/avg_loss__MIN","Group: k_is_2 - test-tokens/avg_loss__MAX","Group: k_is_1 - test-tokens/avg_loss","Group: k_is_1 - test-tokens/avg_loss__MIN","Group: k_is_1 - test-tokens/avg_loss__MAX"
"204800","7.953187465667725","7.953187465667725","7.953187465667725","8.081331853866578","8.081331853866578","8.081331853866578","8.109540128707886","8.109540128707886","8.109540128707886","8.335725212097168","8.335725212097168","8.335725212097168","8.322263851165772","8.322263851165772","8.322263851165772","8.777195091247558","8.777195091247558","8.777195091247558","8.692308387756349","8.692308387756349","8.692308387756349","9.161002063751221","9.161002063751221","9.161002063751221","9.281193523406982","9.281193523406982","9.281193523406982","9.923136081695556","9.923136081695556","9.923136081695556"
"409600","7.538689622879028","7.538689622879028","7.538689622879028","7.58739785194397","7.58739785194397","7.58739785194397","7.566675586700439","7.566675586700439","7.566675586700439","7.59497254371643","7.59497254371643","7.59497254371643","7.611317987442017","7.611317987442017","7.611317987442017","7.7662936782836915","7.7662936782836915","7.7662936782836915","7.730587339401245","7.730587339401245","7.730587339401245","8.11259494781494","8.11259494781494","8.11259494781494","8.149853172302246","8.149853172302246","8.149853172302246","8.945701293945312","8.945701293945312","8.945701293945312"
"614400","7.408749589920044","7.408749589920044","7.408749589920044","7.4482629776000975","7.4482629776000975","7.4482629776000975","7.451176605224609","7.451176605224609","7.451176605224609","7.465980014801025","7.465980014801025","7.465980014801025","7.439063444137573","7.439063444137573","7.439063444137573","7.567951593399048","7.567951593399048","7.567951593399048","7.535055255889892","7.535055255889892","7.535055255889892","7.656546277999878","7.656546277999878","7.656546277999878","7.642897853851318","7.642897853851318","7.642897853851318","8.20947322845459","8.20947322845459","8.20947322845459"
"819200","7.283300914764404","7.283300914764404","7.283300914764404","7.313698968887329","7.313698968887329","7.313698968887329","7.340992012023926","7.340992012023926","7.340992012023926","7.395598335266113","7.395598335266113","7.395598335266113","7.362667741775513","7.362667741775513","7.362667741775513","7.450903568267822","7.450903568267822","7.450903568267822","7.445715703964233","7.445715703964233","7.445715703964233","7.518245153427124","7.518245153427124","7.518245153427124","7.512647542953491","7.512647542953491","7.512647542953491","7.79255090713501","7.79255090713501","7.79255090713501"
"1024000","7.156657190322876","7.156657190322876","7.156657190322876","7.202708673477173","7.202708673477173","7.202708673477173","7.237004737854004","7.237004737854004","7.237004737854004","7.279338026046753","7.279338026046753","7.279338026046753","7.258743858337402","7.258743858337402","7.258743858337402","7.380099306106567","7.380099306106567","7.380099306106567","7.372444276809692","7.372444276809692","7.372444276809692","7.436200828552246","7.436200828552246","7.436200828552246","7.483259038925171","7.483259038925171","7.483259038925171","7.6172121810913085","7.6172121810913085","7.6172121810913085"
"1228800","7.0883443069458005","7.0883443069458005","7.0883443069458005","7.110209045410156","7.110209045410156","7.110209045410156","7.12234414100647","7.12234414100647","7.12234414100647","7.214775018692016","7.214775018692016","7.214775018692016","7.188667488098145","7.188667488098145","7.188667488098145","7.286452026367187","7.286452026367187","7.286452026367187","7.261785678863525","7.261785678863525","7.261785678863525","7.363233880996704","7.363233880996704","7.363233880996704","7.3830908203125","7.3830908203125","7.3830908203125","7.543131771087647","7.543131771087647","7.543131771087647"
"1433600","7.013277740478515","7.013277740478515","7.013277740478515","7.0304827308654785","7.0304827308654785","7.0304827308654785","7.051395864486694","7.051395864486694","7.051395864486694","7.114408054351807","7.114408054351807","7.114408054351807","7.092211704254151","7.092211704254151","7.092211704254151","7.215526781082153","7.215526781082153","7.215526781082153","7.216581726074219","7.216581726074219","7.216581726074219","7.309884357452392","7.309884357452392","7.309884357452392","7.31071249961853","7.31071249961853","7.31071249961853","7.489626054763794","7.489626054763794","7.489626054763794"
"1638400","6.909443254470825","6.909443254470825","6.909443254470825","6.959909086227417","6.959909086227417","6.959909086227417","6.953560390472412","6.953560390472412","6.953560390472412","7.020139389038086","7.020139389038086","7.020139389038086","7.03092116355896","7.03092116355896","7.03092116355896","7.1058265209198","7.1058265209198","7.1058265209198","7.13599102973938","7.13599102973938","7.13599102973938","7.236578598022461","7.236578598022461","7.236578598022461","7.248999471664429","7.248999471664429","7.248999471664429","7.456785354614258","7.456785354614258","7.456785354614258"
"1843200","6.869742231369019","6.869742231369019","6.869742231369019","6.907643442153931","6.907643442153931","6.907643442153931","6.892666130065918","6.892666130065918","6.892666130065918","6.93136962890625","6.93136962890625","6.93136962890625","6.976628036499023","6.976628036499023","6.976628036499023","7.07005952835083","7.07005952835083","7.07005952835083","7.0498012447357175","7.0498012447357175","7.0498012447357175","7.180476531982422","7.180476531982422","7.180476531982422","7.210966033935547","7.210966033935547","7.210966033935547","7.404470634460449","7.404470634460449","7.404470634460449"
"2048000","6.793429632186889","6.793429632186889","6.793429632186889","6.8262064743041995","6.8262064743041995","6.8262064743041995","6.852335186004638","6.852335186004638","6.852335186004638","6.922430810928344","6.922430810928344","6.922430810928344","6.926590557098389","6.926590557098389","6.926590557098389","7.012914266586304","7.012914266586304","7.012914266586304","7.007750597000122","7.007750597000122","7.007750597000122","7.116654148101807","7.116654148101807","7.116654148101807","7.167746887207032","7.167746887207032","7.167746887207032","7.352110137939453","7.352110137939453","7.352110137939453"
